age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Unnamed: 14
50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K
67,?,212759,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,2,United-States,<=50K
18,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K
71,Self-emp-not-inc,494223,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50K
18,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K
58,State-gov,109567,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K
17,Private,65368,11th,7,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
60,?,24215,10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,<=50K
17,Private,245918,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
22,Private,34918,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,15,Germany,<=50K
44,Private,162028,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,United-States,>50K
30,Private,426017,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,19,United-States,<=50K
17,Private,175024,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,2176,0,18,United-States,<=50K
17,?,258872,11th,7,Never-married,?,Own-child,White,Female,0,0,5,United-States,<=50K
30,Private,118551,Bachelors,13,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,16,United-States,>50K
17,Private,211870,9th,5,Never-married,Other-service,Not-in-family,White,Male,0,0,6,United-States,<=50K
19,Private,249609,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,8,United-States,<=50K
74,Private,99183,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,9,United-States,<=50K
17,Private,242718,11th,7,Never-married,Sales,Own-child,White,Male,0,0,12,United-States,<=50K
17,Private,169658,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,21,United-States,<=50K
19,Private,262601,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,14,United-States,<=50K
17,Self-emp-not-inc,368700,11th,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,10,United-States,<=50K
17,Private,102726,12th,8,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,<=50K
18,State-gov,59342,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,5,United-States,<=50K
66,?,149422,7th-8th,4,Never-married,?,Not-in-family,White,Male,0,0,4,United-States,<=50K
17,Private,316929,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
36,Private,101460,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,18,United-States,<=50K
17,Private,193830,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
63,Private,86108,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,6,United-States,<=50K
31,Private,118966,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,18,United-States,<=50K
23,Private,153044,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,7,United-States,<=50K
63,?,149698,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,15,United-States,<=50K
24,Private,202570,Bachelors,13,Never-married,Prof-specialty,Own-child,Black,Male,0,0,15,United-States,<=50K
64,?,29825,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,5,United-States,<=50K
76,?,431192,7th-8th,4,Widowed,?,Not-in-family,White,Male,0,0,2,United-States,<=50K
66,Self-emp-inc,150726,9th,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,1409,0,1,?,<=50K
